id_perfil;clase;lugares
22BWE4CP4YQO2PFB4BXHP64Q7I;USA only;Southport
22DSGDNHSWCKZN3AYG2M3COO4U;USA only;Ohio
22ILWX26LXE3I6QQERACUWC4JI;USA only;San Diego ca
22LBWM77OQMDWXJSBMDQ53ZJ6M;Non-USA;Cardiff UK
234HVZ4VA2SZPXCEIGSPMRSMYE;World;Melbourne Australia - Brooklyn, NY
23BNW5SYA52H5CUTAORSXWRKAE;USA only;Colorado
23T3RLL3LYSFTI5GME3BJ3HVSE;USA only;Texas - Denver  - Austin
243QLYS4XI7MU7RL3R3WLFSKII;Undetermined;none
245CNLFFDXKUPQ3DGGHRXHFMPM;USA only;Salt Lake City, Utah
24APBOGN32ASEOULJP2VUZLAEU;USA only;US
26OMOJYTYBVIZAKKXAB54D6D2Q;Non-USA;England 
26U3RA2QV45CQJLJPI6RKMSV5U;World;Utah - NJ - Wyo - Vietnam 
27MQSCQAI3SBTQ3AZVFZMJUDWA;Undetermined;none
27ROQVF37N4FEIZBDRQA3C4464;World;America - Greece
2ASZKHX2NKUCNTAOHWIAUBEDCA;USA only;New Jersey - North Carolina
2B6MQGFMXQO2NWCHUN2WMYUOWA;Non-USA;Filipina - Japan
2BJ7YWTFKMZWVQ4TAZIBWGNNSI;USA only;california
2BUKMLZ3TOKSWZ5DQCNMW6GNU4;USA only;hawaii
2C3RTPK2P2QRLIXR6YVFRJTT3E;USA only;lakeland area
2CD2PZZZKAFPUPCQRQWYKFD34Q;USA only;Los Angeles
2CE7X7VQRYFS3UCZIQ7FABKNI4;Non-USA;UK
2CFN2VOG5VRS5CR7ZUUVFPVGIE;Non-USA;Beijing
2DD5RXPB26ZQMXYFHM62Y3L4FM;Non-USA;Ireland
2ERRYKQIHBVZKHQ7WKQ6WKDGWY;USA only;NC - SC - Fort Smith AR
2IBYIPE44PMCW4WST7M4G7BVEY;Non-USA;pakistan
2JQPX7EEWM6UDCQKJTCTNZEHY4;Non-USA;Sligo in Ireland
2K6FEQBV5CTC3WWSCLVM5HJLMY;USA only;San Antonio,Tx
2KWMXFRKQDNYL4LJTZ4OKXEZ4U;World;new york city - korean
2L2MP2L54XXTLFLXVZ3A37SKCY;USA only;Los Angeles - Portland (Oregon)
2LUN5PVKAUECXNXMXZO6ZPFGKY;Non-USA;south east england
2MZPY4MMIJ2VTFKGR2ESHOIQDY;Non-USA;uk
2NSKVEYB4MQGQ22G4J3HV5AHI4;USA only;West Newbury,Massuchets
2NXCLQ3UKEFIQNBKPST35EC4KQ;USA only;Detroit
2O7LKLHCXBSZX76ENDAMRQBRB4;Non-USA;Puerto Rico
2P755P2B34KFXBNZA7K3A3X3O4;Non-USA;Chennai
2PRP7P7EIR2VSTWNTHBBLTR43Y;Undetermined;none
2RURDQWJMKQB52NRUJKG5JKUNA;Undetermined;none
2RVIELZKX2Q5GWH6U5OCAGWRCY;Undetermined;none
2RVURXDBQWVJRLQCCHPA4HL7Y4;Non-USA;Greece - English 
2SWLDPHGZZ7EKACHJCUQYOK3PM;USA only; central Florida
2TYLW26BLV4VL77WE4HDL5BZVA;USA only;Texas
2UENJ26Z3QY4DMIPBAM3ZNWW5A;USA only;Az
2UHSKXF5C5UROKAJI2VEHB63XI;USA only;Missouri
2UM2WGROAYX3K4OQ5HGD22AMTU;USA only;Texas, Estados Unidos
2UVBVPSHNWKO5XQ6VHECWTESKQ;USA only;Louisiana
2V7JBOCA3ZIFHUAV7DHAXXRWEU;USA only;Gadsden, Alabama
2VH6EZ6ZGC2ZGDF42UGR534ANQ;Undetermined;none
2VT33ZWB3WC2GULFFLWC4L23VY;World;NYC - Spain - Shanghai - New Orleans,Chicago - San Francisco
2WPTKW5XP6OJGIZYHVHW4O56ME;Undetermined;none
2WVIL43XE4XODR3PME6VWR5LDE;USA only;Woonsocket, RI
2WZCVHWF3ARWZKVIHM5ZF7IBQI;USA only;Wyoming
2X557JJE47BBHUG34CIS3VIENA;USA only;Southern California
2XANDNVLT4UE5GSGTN557VLDWI;USA only;Tennessee
2XX5EB64LFFBDLFJLYE24VIP7E;USA only;Santa Barbara, CA
2Y2AJTNYMWFHB3D4XKOUUMXQJ4;World;Sweden - U.S.A - Vegas 
2YUS35HHQUWWWSGWTDGGYJC3K4;USA only;jersey
337EJL4JT6HXJ3UQGHAFRRT7BI;USA only;New Mexico
33JUPAHANUTDWSGW73WZNTX6MQ;USA only;midwest 
346XSVI3MYA24ZVSQYJZSI4PWQ;Undetermined;none
352UNA7NIAW6ZMNHIB3PYTPWI4;USA only;cleveland 
357RHTOZ2QXKHTTKPGZNGTNN4Q;Non-USA;Trinidad 
35J3CTIINPADSH5XK7FCMNG6AU;Non-USA;94 Victoria Ave. Ridgetown,Ont
35WGZWYI7HOXJSGPVWZIS6RWGM;USA only;northern Minnesota
36AIWOOZPJGNF3A7A2IBDAYZHQ;USA only; Oregon 
37D2AUAAHLZJBZFA63C6V4EWZQ;USA only;Boston
37QHEKQ7PMJXNX3MFB7VSWLPMI;USA only;Houston
37YT3BJISR2Q3SYPSB5FD6ZHJE;Non-USA;Sydney
3APANE2PEIMVHZMLP3RYU3X63Y;Non-USA;UK
3B4BKED6OGQIER3BWECPATE2DU;Undetermined;none
3CI6EDIKDF6XFVIZXV77GCTVYE;Undetermined;none
3CQ4F66JKNEZYOJVES6WNW7ZOA;Undetermined;none
3CW7HKIN4HTY2RGVL7FWQ3ROMY;Non-USA;Mansour 
3CZHKE7DGI5Y4UNJ5QZF2OUYTQ;Undetermined;none
3DJUSRFSAHSWE72DSJWAOXB6BY;USA only;The United States
3DYEF65QORJ2SQYGKPQNAZMRQI;Non-USA;Greece
3EYS6WGWO4QML62Y35DXLTV65I;USA only;south carolina
3GQRHRHNKDTZWZRAGSAP6NO42Y;Undetermined;none
3GZGLCGXXTJ5756DK3KRFZH4IY;USA only;Boston 
3HIZ2II6W53MP3K7WGNEBMTLMI;USA only;California
3I53ZWKYHSX2ZVWSSBJSY4VGMU;Non-USA;Ireland
3IXMPFY4VQOT2UOC7WTJGCRWI4;USA only;Missouri
3JN7C2OG42UYWBZNRB23XK5OZI;Undetermined;none
3JP4Z3GH6EHRGCXW2XI2MGV644;Undetermined;none
3JZBQTY5LLBXGXBNUUHG7HIUPM;USA only;the US
3KAXL5366KILHWDYZH6O7NX2MY;Undetermined;none
3KGDTBUM2Y36HKNO6ORJLRZLCQ;USA only;Muskegon, MI
3KVMUOLVHM5GB3XADBEIW7PL24;Non-USA;Mexico
3L4DWYJWJ4J4Q7ZQ5ODHWLUT4U;USA only;Waukesha, Wisconsin 
3LF7TWD2NDYAS5NOGBPLMJLKU4;Non-USA;dubai
3M75LO2XGB6XHVDNTZHPM2QAWI;Non-USA;Canada
3MNBLNUHZW7W6QJKTWFW5A2DUM;Undetermined;none
3NPSRUE5EQNQX6JJTHITNYTRZY;USA only;Texas
3OJQ2UNSJQH7AKRVOOBJJAK4E4;USA only;Wisconsin
3QFFLKIWYSVTK5VFTUHBXVFYJI;Undetermined;none
3QFP3VKRMLUK7TILILTHGVHURI;Undetermined;none
3QZZQD3C2CLA2PCGYE3AGK2WKQ;USA only;washington 
3RDBQKNAISOQFTVIJ3JHUZU5LI;USA only;Orange County, CA
3RSCX3QJDRCGOQQAIPXE3MXMWY;USA only;Tampa area in Florida
3TDTTQAB32MWMKTGS7KSH34JNY;USA only;Tenessee
3TSWFFMGGPQC65V6DXGD2QH63Q;USA only;San Diego
3TYEE3GP5O7RV47D6CEQGUMDAQ;Undetermined;none
3VBCHTZNVSR5YTDQJILNBA5JIU;USA only;the Pacific Northwest
3W2HFYLV4W37WJD6GLU6JLUTXQ;USA only;California
3Y5D5MNKV2M5N6LZN5YRZ344HY;USA only;the Midwest of the US
3Z6Z6WNE3SO7F42VRC6APBDJII;Non-USA;Canada
3ZH6LFK4DDOU7LJBSVYQDZTGNQ;Non-USA;Paris Cite Andre Jacomet
3ZHZUHUO6GCREGF47RPNPKHXLA;Non-USA;england
44EM6NTSRE6LX3X5PV7CCGYDDY;USA only;Savannah, Georgia
44N2IQLV7BDWVEXK7AHRFTZKFQ;Non-USA;Australia 
44OUIME4NWNF7DEVVCI2SU5RAI;USA only;WA 98660 US
45ITQZDGHIYYDD3TLIVE5244SM;USA only;New York City, New York
472QPHJFATI42YCOMKEA2DLH6E;Undetermined;none
4A3LJIKSC3N7ELTH45QIBYRYYI;Non-USA;CALI,COLOMBIA
4AEU2QN6EXR7JQTFTXP5PFWOPU;Non-USA;Iraq - Jordan - Canada
4AF2C4YZJLN2X2S6IUCYB3RRKE;USA only;Indiana
4AIV7XMFYFLWWJRN6WK7AFHRQ4;USA only;Arizona
4ATQI64TWX3EBPV3WOQFCMAOAQ;Non-USA;Clare (ireland)
4AVJMXTJTJXHWAOVO4JSOHOM6U;Non-USA;UK
4B4ZUMTJTM34FK2I5AQ2YRTBNU;USA only;St Louis
4CR5O6745UFZYVB7KI4KRFMINM;Undetermined;none
4CUVAFYYXYEGC75QFYZ2WZBCYE;Non-USA;Caribbean
4DP7XVJCP4HPPMR76M5EF463RY;USA only;Georgia
4E4BHLFDJPFLT37V3FTVGPM4X4;USA only;tucson az
4E7CTKC5NN4J22734SUSEDCXRA;Non-USA;COSTA RICA
4EEUL3GEHRO7EUD3ATQQSPCZKM;Undetermined;none
4I4R26JFG47YUQHAOH4DWORXZQ;Undetermined;none
4IFJHN46H64DPKAOPNQ4UPMWSA;Undetermined;none
4IFKVTKN6UOWKROWI72ZLNWQEE;Undetermined;none
4IHUJHHX52LQO4WH4ERU24MEH4;USA only;Brussels, Kingdom of Belgium
4JXCITK7EDTEQ3ZMDXV2LYOGYA;World;Texas -  Iran - Iraq - Italy -Casablanca - Philippines 
4K6IVLSOS23EJSJYV3WNV6EQCE;Non-USA;India
4KOMXPFYPJ7DYBGWFMJHTJBF3I;USA only;sithern california
4KVAI2GAWIFDFAH37XIXFITCAI;Undetermined;none
4KZU7MY4N5UTEM76TJHFA3KNA4;USA only;Texas
4LC7ID3PFACM5FT2DIRTSRYL6I;USA only;missouri
4LMPDDRFMNEXX5OLY52H7ZDXVA;USA only;plymouth Mi
4LUDW3QAFY6NEITGNB7EYXACA4;Non-USA;Ankara, Turkey - Kadikoy district of Istanbul - Canada
4LUEY5XG22ZBUPBHFGI75QNOCU;USA only;Arkansas
4M2A35DKM643T7YBWCKH5QH7MU;Undetermined;none
4MVNLUITRPMF7XL5I6TOXAPUQQ;Undetermined;none
4OCMGCJDSQQSRTEHF3YBAHBSTA;Non-USA;Singapore - Malaya - Thailand
4PRNBNSRE2EW572FB3KCE23XZM;USA only;Delaware
4PV5CPYDR54LA23T7ULQOQUIJU;USA only;California
4QTVPO3DURTGFXDQUYP3NE4QPM;Undetermined;none
4QXY6W7HJAMFGK5MVACQKWGZII;USA only;Ohio
4RHIIJD4F3WHECSE45AL4MRXYE;Non-USA;Russia
4S2BP2VKOSJ74JMJCH7BEBF5TM;Non-USA;Hessle, UK
4S4BJ3TZ3DFTI4XMQ5VSA5YUYE;Non-USA;Turkey
4SOGKGLL7VDASPTQG3BYTI5WJQ;Undetermined;none
4TAC6T4GKCSWQV2WLZSEBZNEIE;Undetermined;none
4TCTY3FC4Y53T3IA2F377GA7P4;Undetermined;none
4TRX6KHQ2GRRSFMEDOFUBRRN7Q;Non-USA;Mexican 
4UHUSRVL6WZH2HOGCZW237Y7IY;USA only;Bronx NY
4UI6YLAYGBAC4FE4JEN64JF45A;Non-USA;England - Maldives
4USKEDV2XH2TZF7K7IBJ7W54VY;Non-USA;New Zealand
4UULQNN6WG4WBWM4IMU6RBVTGY;USA only;Ohio
4UVLXMVK2WKZFAN34YDIZWOSTI;USA only;IOWA
4VKEOQRGVZENBOCWRADGLOLX4Q;Undetermined;none
4WGO4TVNIFCOTQXMB4QZLREHUA;Non-USA;Singapore
4WYTM54HRJZOZHNBD5YNQ7D4PY;Non-USA;Australia - England
4X6WDZSGJQV3PKRSTFHIANP224;Undetermined;none
4XOYUSYMRYY4RWLKDNQIYEWW5U;Non-USA;chandigarh ut 
4XSTAD7ASYC5XFQRJ5IQY2DWZA;Non-USA;German - Italian - Norwegian
4Y4JLJE5UJ6AM6SFVUSFCKVL5I;Non-USA;Australia - NZ - England
4YGP54E5SZCTP3LQCKOIF3XF6Q;Undetermined;none
4YSEKBY6FPF63CWQ5YB3LUHBAI;Undetermined;none
4Z3WAWEOVJCA42GA3RWILKLYCU;Undetermined;none
4ZB6K4CEKIQC7EOSMJ5MGCBDNI;USA only;texas
52BVDTMY4RSZGAA3PJB4SGR6RM;USA only;Oklahoma
52H32C7LSK3SP7CH7H7X5VRSLQ;Non-USA;Egypt
53EDYCXJL2YFYOIRSNQUC7IPIM;Undetermined;none
554PNSPXBJJAFT753LQ5BM5VFU;Non-USA;Jalndhar,India
55MLYFOU2DVTW4JRZ55H4TSBW4;USA only;Louisiana
55ZQNT4WANFAERKJBHIFUSRFFU;Non-USA;Edinborough - Croydon
56ZG57A4YZBD5QQBKZU3BYQDKU;USA only;Syracuse, UT
57DWMFCGP4QQY2RKEPUQWEYIYU;Non-USA;England
5AYRO53YAGJPGMWBYRWBYWK364;USA only;Texas
